	MPG	Cylinders	Horsepower	Weight	Acceleration	Year	Origin
car 1	18	8	130	3504	12	70	1
car 2	15	8	165	3693	11.5	70	1
car 3	18	8	150	3436	11	70	1
car 4	16	8	150	3433	12	70	1
car 5	17	8	140	3449	10.5	70	1
car 6	15	8	198	4341	10	70	1
car 7	14	8	220	4354	9	70	1
car 8	14	8	215	4312	8.5	70	1
car 9	14	8	225	4425	10	70	1
car 10	15	8	190	3850	8.5	70	1
car 11	15	8	170	3563	10	70	1
car 12	14	8	160	3609	8	70	1
car 13	15	8	150	3761	9.5	70	1
car 14	14	8	225	3086	10	70	1
car 15	24	4	95	2372	15	70	3
car 16	22	6	95	2833	15.5	70	1
car 17	18	6	97	2774	15.5	70	1
car 18	21	6	85	2587	16	70	1
car 19	27	4	88	2130	14.5	70	3
car 20	26	4	46	1835	20.5	70	2
car 21	25	4	87	2672	17.5	70	2
car 22	24	4	90	2430	14.5	70	2
car 23	25	4	95	2375	17.5	70	2
car 24	26	4	113	2234	12.5	70	2
car 25	21	6	90	2648	15	70	1
car 26	10	8	215	4615	14	70	1
car 27	10	8	200	4376	15	70	1
car 28	11	8	210	4382	13.5	70	1
car 29	9	8	193	4732	18.5	70	1
car 30	27	4	88	2130	14.5	71	3
car 31	28	4	90	2264	15.5	71	1
car 32	25	4	95	2228	14	71	3
car 33	19	6	100	2634	13	71	1
car 34	16	6	105	3439	15.5	71	1
car 35	17	6	100	3329	15.5	71	1
car 36	19	6	88	3302	15.5	71	1
car 37	18	6	100	3288	15.5	71	1
car 38	14	8	165	4209	12	71	1
car 39	14	8	175	4464	11.5	71	1
car 40	14	8	153	4154	13.5	71	1
car 41	14	8	150	4096	13	71	1
car 42	12	8	180	4955	11.5	71	1
car 43	13	8	170	4746	12	71	1
car 44	13	8	175	5140	12	71	1
car 45	18	6	110	2962	13.5	71	1
car 46	22	4	72	2408	19	71	1
car 47	19	6	100	3282	15	71	1
car 48	18	6	88	3139	14.5	71	1
car 49	23	4	86	2220	14	71	1
car 50	28	4	90	2123	14	71	2
car 51	30	4	70	2074	19.5	71	2
car 52	30	4	76	2065	14.5	71	2
car 53	31	4	65	1773	19	71	3
car 54	35	4	69	1613	18	71	3
car 55	27	4	60	1834	19	71	2
car 56	26	4	70	1955	20.5	71	1
car 57	24	4	95	2278	15.5	72	3
car 58	25	4	80	2126	17	72	1
car 59	23	4	54	2254	23.5	72	2
car 60	20	4	90	2408	19.5	72	1
car 61	21	4	86	2226	16.5	72	1
car 62	13	8	165	4274	12	72	1
car 63	14	8	175	4385	12	72	1
car 64	15	8	150	4135	13.5	72	1
car 65	14	8	153	4129	13	72	1
car 66	17	8	150	3672	11.5	72	1
car 67	11	8	208	4633	11	72	1
car 68	13	8	155	4502	13.5	72	1
car 69	12	8	160	4456	13.5	72	1
car 70	13	8	190	4422	12.5	72	1
car 71	19	3	97	2330	13.5	72	3
car 72	15	8	150	3892	12.5	72	1
car 73	13	8	130	4098	14	72	1
car 74	13	8	140	4294	16	72	1
car 75	14	8	150	4077	14	72	1
car 76	18	4	112	2933	14.5	72	2
car 77	22	4	76	2511	18	72	2
car 78	21	4	87	2979	19.5	72	2
car 79	26	4	69	2189	18	72	2
car 80	22	4	86	2395	16	72	1
car 81	28	4	92	2288	17	72	3
car 82	23	4	97	2506	14.5	72	3
car 83	28	4	80	2164	15	72	1
car 84	27	4	88	2100	16.5	72	3
car 85	13	8	175	4100	13	73	1
car 86	14	8	150	3672	11.5	73	1
car 87	13	8	145	3988	13	73	1
car 88	14	8	137	4042	14.5	73	1
car 89	15	8	150	3777	12.5	73	1
car 90	12	8	198	4952	11.5	73	1
